Title,Price,Location,Bedrooms,Bathrooms,Size
4 Bed Villa with En Suite in Westlands Area,"KSh 96,000,000","Westlands Area, Westlands",4 Bedrooms,N/A,N/A
4 Bed House with En Suite at Kiambu Road.,"KSh 20,000,000","00502, New Runda, kiambu road., Runda, Westlands",4 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite in Nyali Area,"KSh 40,000,000","Nyali Area, Nyali",4 Bedrooms,4 Bathrooms,N/A
3 Bed House with En Suite at Kangundo Road,"KSh 8,500,000","Kangundo Road, Joska, Kamulu Joska Malaa",3 Bedrooms,2 Bathrooms,130 m²
5 Bed House with En Suite in Runda,"KSh 240,000,000","Runda, Westlands",5 Bedrooms,7 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 65,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
4 Bed Townhouse with En Suite in Karen,"KSh 64,000,000",Karen,4 Bedrooms,4 Bathrooms,N/A
5 Bed House with En Suite at Kiambu Road.,"KSh 45,000,000","New Runda, kiambu road., Runda, Westlands",5 Bedrooms,6 Bathrooms,N/A
5 Bed House with En Suite in Thigiri,"KSh 145,000,000","Thigiri, Westlands",5 Bedrooms,N/A,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 55,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
4 Bed Townhouse with En Suite in Lavington,"KSh 71,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
4 Bed House with En Suite at Migaa Golf Estate,"KSh 22,500,000","Centre Piece, Migaa Golf Estate, Kiambu Road",4 Bedrooms,6 Bathrooms,400 m²
5 Bed House with En Suite at Lavington,"KSh 80,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
4 Bed House with En Suite at Loresho,"KSh 93,000,000","Loresho, Westlands",4 Bedrooms,4 Bathrooms,N/A
5 Bed House in Runda,"KSh 98,000,000","Runda, Westlands",5 Bedrooms,N/A,N/A
3 Bed House in Lavington,"KSh 18,000,000",Lavington,3 Bedrooms,N/A,N/A
3 Bed House in Riverside,"KSh 48,000,000","Riverside, Westlands",3 Bedrooms,N/A,N/A
5 Bed House with En Suite at Runda,"KSh 350,000,000","Runda, Westlands",5 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite at Off Convent Drive,"KSh 70,000,000","Off Convent Drive, Lavington",4 Bedrooms,5 Bathrooms,430 m²
4 Bed Villa with En Suite in Karen,"KSh 85,000,000",Karen,4 Bedrooms,5 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 140,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
2 Bed Townhouse with En Suite at Kinanda Road,"KSh 47,500,000","Kinanda Road, Kitisuru, Westlands",2 Bedrooms,2 Bathrooms,95 m²
6 Bed Townhouse with En Suite in Lavington,"KSh 85,000,000",Lavington,6 Bedrooms,7 Bathrooms,N/A
4 Bed Villa with En Suite at Nairobi,"KSh 18,000,000","Nairobi, Syokimau",4 Bedrooms,4 Bathrooms,N/A
3 Bed House with En Suite in Kitengela,"KSh 6,500,000",Kitengela,3 Bedrooms,2 Bathrooms,N/A
6 Bed House with En Suite at Lamu Town,"KSh 39,000,000","Lamu Town, Lamu, lamu",6 Bedrooms,6 Bathrooms,N/A
3 Bed House with En Suite at Kitengela,"KSh 12,500,000","Italy Lane, Muigai,Kitengela, Kitengela",3 Bedrooms,4 Bathrooms,N/A
4 Bed Townhouse with En Suite in Karen,"KSh 32,000,000",Karen,4 Bedrooms,4 Bathrooms,2.700 m²
5 Bed Villa with En Suite in Lavington,"KSh 115,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
6 Bed House with En Suite in Runda,"KSh 140,000,000","Runda, Westlands",6 Bedrooms,6 Bathrooms,N/A
4 Bed Villa with En Suite in Membley,"KSh 25,000,000","Membley, Ruiru",4 Bedrooms,4 Bathrooms,N/A
4 Bed House with En Suite in Runda,"KSh 75,000,000","Runda, Westlands",4 Bedrooms,4 Bathrooms,N/A
